DomInio,,CODIGO,CREDITO,TURMA,DISCIPLINA,2,3,4,5,6,HORA,SALA,VAGAS 2021.2,PROFESSOR,PERIODIZACAO,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1632,2,1AA,SEMåNTICA DO PRODUTO,2,,,,,09-11,VIRTUAL,22 EPP ,Vera Nojima ,7¼ para PP,,,,,,,,,,,,,,,,,,,,,,,
AnimaCAo,Ultimo semestre 2 semestre,DSG 1634,2,1AA,ECODESIGN,,,4,,,13-15,ART 4,10 EPP / 5 QQC/ 5 CCI,Augusto Seibel,7¼ para PP,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1635,2,1AA,ILUSTRACAO DE PRODUTO,,,,,6,11-13,L 658,10 ART/ 10 QQC,DedE Rocha ,2¼ para PP optativa de desenho,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1637,3,1AA,LABORATORIO DA FORMA I,,3,,,,08-11,LAMP K08,10 ART/ 10 QQC,Gabriella Vaccari,6¼ para PP optativa de design de produto,,,,,,,,,,,,,,,,,,,,,,,
Trabalho e contemporaneidade,,DSG 1717,2,1AA,TED XIV - DISTRIBUICAO AUDIOVISUAL,2,,,,,09-11,VIRTUAL,10 ART/ 10 QQC,Claudia Bolshaw,Eletiva ,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1718,2,1AA,NARRATIVAS AUDIOVISUAIS,,,,5,,08-10,VIRTUAL,10 ART/ 10 QQC,Rian Rezende,Eletiva ,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1719,2,1AA,LITERATURA E IMAGEM - DESIGN GRAFICO,,,4,,,09-11,VIRTUAL,10 ART/ 10 QQC,Guto Lins ,Eletiva ,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1720,2,1AA,PROTOTIPAGEM DE WEBSITE E APLICATIVOS,,,,5,,13-15,VIRTUAL,10 ART/ 10 QQC,Jacques Chueke,Eletiva ,,,,,,,,,,,,,,,,,,,,,,,
AnimaCAo,,DSG 1721,2,1AA,TED XXII CULTURA BRASILEIRA DA LIT INFANTO JUVENIL ,,,,,6,11-13,VIRTUAL,10 ART/ 10 QQC/ 5CCI,Luciana Grether,Eletiva ,,,,,,,,,,,,,,,,,,,,,,,
AnimaCAo,,DSG 1753,3,1AA,TED LIV - DIAGRAMACAO E EDITORACAO ELETRONICA ,,3,,,,10-13,T 01,10 ECV / 05 ART,Romulo Matteoni,Optativa RepresentaCAo em CV,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1753,3,1AB,TED LIV - DIAGRAMACAO E EDITORACAO ELETRONICA ,,,4,,,11-14,T 01,10 ECV / 05 ART,Fabiana Prado,Optativa RepresentaCAo em CV,,,,,,,,,,,,,,,,,,,,,,,
,DSG1854,DSG 1757,3,1AA,MERCHANDISING VISUAL DE MODA,2,,,,,15-18,VIRTUAL,10 ART/ 10 QQC,Monica Saddi,Eletiva ,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1758,3,1AA,CRIACAO E PRODUCAO DE IMAGEM EM MOVIMENTO,,,,5,,08-11,VIRTUAL,10 ART/ 10 QQC,Sanseverino,Eletiva ,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1761,3,1AA,BRANDING DE MODA ,,,,,6,08-11,VIRTUAL,10 ART/ 10 QQC,Monica Saddi,Eletiva ,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1782,4,1AA,TED LXXXIII - AQUARELAS LIQUIDAS,2,,,,,13-17,ART 4,10 ART/ 10 QQC,DedE Rocha ,Eletiva ,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1784,4,1AA,INTERDISCIPLINARY WORKSHOP,,,,,6,09-13,LILD,10 ART/ 10 QQC,Mario Seixas,Eletiva ,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1791,4,1AA,DESIGN PARA AGENDA 2030,2,,4,,,08-10/SHF,ART 5,10 ART/ 10 QQC,Guilherme Toledo 2 Felipe Rangel 2,,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1801,2,1AA,CONTEUDOS ESTRUTURANTES: OLHAR INTRAMUROS,,3,,,,13-15,L532,21 CAL/ 3 ART / 2 QQC,Jackeline Farbiarz 2 Tatiana Carvalho 0 Roberta Portas Flavia Nizia 0,1¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1801,2,1AB,CONTEUDOS ESTRUTURANTES: OLHAR INTRAMUROS,,3,,,,13-15,L658,21 CAL/ 3 ART / 2 QQC,Roberta Portas 2 Jackeline 0 Tatiana Carvalho 0  Flavia Nizia 0,1¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1801,2,1AC,CONTEUDOS ESTRUTURANTES: OLHAR INTRAMUROS,,3,,,,13-15,L532,21 CAL/ 3 ART / 2 QQC,Tatiana Carvalho 2 Roberta Portas 0 Jackeline 0 ,1¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1801,2,1AD,CONTEUDOS ESTRUTURANTES: OLHAR INTRAMUROS,,3,,,,13-15,L658,21 CAL/ 3 ART / 2 QQC,Flavia Nizia 2 Jackeline Farbarz 0 Roberta Portas 0 Tatiana Carvalho 0 ,1¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1802,2,1AA,CONTEUDOS ESTRUTURANTES: OLHAR EXTRAMUROS,,,,5,,13-15,ART 1,12 CAL/ 15 ART,Izabel Oliveira 1 Lula Rocha 1  JoAo Bonelli 0 Roberta 0,2¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1802,2,1AB,CONTEUDOS ESTRUTURANTES: OLHAR EXTRAMUROS ,,,,5,,13-15,ART 2,12 CAL/ 14 ART,JoAo Bonelli 1 Lula Rocha 1 Izabel Oliveira 0 Roberta 0,2¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1802,2,1AC,CONTEUDOS ESTRUTURANTES: OLHAR EXTRAMUROS ,,,,5,,13-15,ART 3,12 CAL/ 15 ART,Renata Mattos 1 Lula Rocha 1 Izabel Oliveira 0 Roberta 0 JoAo Bonelli 0 ,2¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1803,2,1AA,CONTEUDOS ESTRUTURANTES: PROJETAR EM PARCERIA ,2,,,,,13-15,VIRTUAL,34 ART ,Luis Vicente 1  Carlos AndrE 0 Luciana Grether 0  Olivia Hirch 1 Roberta 0,3¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1803,2,1AB,CONTEUDOS ESTRUTURANTES: PROJETAR EM PARCERIA,2,,,,,13-15,VIRTUAL,34 ART ,Carlos AndrE 1 Luis Vicente 0 Luciana Grether 0 Roberta 0 Palestra 1,3¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1803,2,1AC,CONTEUDOS ESTRUTURANTES: PROJETAR EM PARCERIA ,2,,,,,13-15,VIRTUAL,34 ART ,Luciana Grether 1 Luis Vicente 0 Carlos AndrE 0 Roberta 0 Palestra 1,3¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1804,2,1AA,CONTEUDOS ESTRUTURANTES: PROJETAR EM SOCIEDADE,,3,,,,09-11,IAG 4,27 ART ,Claudio Werneck 2  Izabel Oliveira 0 Roberta 0 ,4¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1804,2,1AB,CONTEUDOS ESTRUTURANTES: PROJETAR EM SOCIEDADE,,3,,,,09-11,ART 3,27 ART,Izabel Oliveira 2  Claudio Werneck 0 Roberta 0 ,4¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1805,2,1AA,CONTEUDOS ESTRUTURANTES: PROJETAR PARA CONCRETIZAR,,,,,6,07-09,VIRTUAL,30 ART ,Romulo Matteoni ,5¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1805,2,1AB,CONTEUDOS ESTRUTURANTES: PROJETAR PARA CONCRETIZAR,,,,,6,07-09,VIRTUAL,30 ART,Vera Nojima ,5¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1805,2,1AC,CONTEUDOS ESTRUTURANTES: PROJETAR PARA CONCRETIZAR,,,,,6,07-09,VIRTUAL,30 ART,Maria Julia,5¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1806,2,1AA,CONTEUDOS ESTRUTURANTES: PROJETAR PARA RESSIGNIFICAR A PRATICA ,,,4,,,08-10,L 422,25 ART,Roberta Portas 1 Palestra 1,6¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1806,2,1AB,CONTEUDOS ESTRUTURANTES: PROJETAR PARA RESSIGNIFICAR A PRATICA ,,,4,,,08-10,L 532,25 ART,Jorge Langone,6¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1811,4,1AA,ESTUDIO: OLHAR INTRAMUROS,,,,5,,13-17,L 232,14 CAL/ 2 ART / 3 QQC,Luiza Marcier 2 Eliane Garcia 1 Luis Vicente 0 Claudia Bolshaw 0 Mario Seixas 0 Carlos AndrE 0 Roberta 0 Palestra 1,1¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1811,4,1AB,ESTUDIO: OLHAR INTRAMUROS,,,,5,,13-17,L 232,14 CAL/ 2 ART / 3 QQC,Luis Vicente 2 Claudia Bolshaw 1  Luiza Marcier 0 Eliane Garcia 0 Mario Seixas 0 Carlos AndrE 0  Roberta 0 Palestra 1 ,1¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1811,4,1AC,ESTUDIO: OLHAR INTRAMUROS,,,,5,,13-17,L 260,14 CAL/ 2 ART / 3 QQC,Mario Seixas 2 Claudia Bolshaw 1 Luiza Marcier 0 Eliane Garcia 0 Luis Vicente 0  Carlos AndrE 0  Roberta 0 Palestra 1 ,1¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1811,4,1AD,ESTUDIO: OLHAR INTRAMUROS,,,,5,,13-17,L 260,14 CAL/ 2 ART / 3 QQC,Carlos AndrE 2 Eliane Garcia 1 Luiza Marcier 0  Luis Vicente 0 Claudia Bolshaw 0 Mario Seixas 0  Roberta 0 Palestra 1 ,1¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1811,4,1AE,ESTUDIO: OLHAR INTRAMUROS,,,,5,,13-17,L 532,14 CAL/ 2 ART / 3 QQC,Flavia Nizia 2 Nathalia Cavalcante 2,1¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1811,4,1AF,ESTUDIO: OLHAR INTRAMUROS,,,,5,,13-17,L 532,14 CAL/ 2 ART / 3 QQC,Claudio Werneck 2 Jorge Langone 2,1¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1812,4,1AA,ESTUDIO: OLHAR EXTRAMUROS,,3,,,,13-17,L 232,11 ART / 09 CAL,Gabriela GusmAo 2 Cristina Viana 1 Roberta 0 Augusto Seibel 0 Gilberto Mendes 0 Marcelo Pereira 0 Isabel Martins 0 Palestra 1,2¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1812,4,1AB,ESTUDIO: OLHAR EXTRAMUROS,,3,,,,13-17,L 232,11 ART / 09 CAL,Augusto Seibel 2 Cristina Viana 1 Gabriela GusmAo 0  Roberta 0 Gilberto Mendes 0 Marcelo Pereira 0 Isabel Martins 0 Palestra 1,2¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1812,4,1AC,ESTUDIO: OLHAR EXTRAMUROS,,3,,,,13-17,L 260,11 ART / 09 CAL,Gilberto Mendes 2 Marcelo Pereira 1 Roberta 0 Gabriela GusmAo 0 Cristina Viana 0 Augusto Seibel 0  Isabel Martins 0 Palestra 1,2¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1812,4,1AD,ESTUDIO: OLHAR EXTRAMUROS,,3,,,,13-17,L 260,11 ART / 09 CAL,Isabel Martins 2 Marcelo Pereira 1 Roberta 0 Gilberto Mendes 0 Gabriela GusmAo 0 Cristina Viana 0 Augusto Seibel 0  Palestra 1,2¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1813,6,1AA,PROJETO: PROJETAR EM PARCERIA,,,4,,,13-19,L 232 ,20 ART ,Carlos AndrE 3 Renata Mattos 1 Luis Vicente 0 Luciana Grether 0 Luiza Novaes 0 Luciana Barbosa 0 Palestra 2,3¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1813,6,1AB,PROJETO: PROJETAR EM PARCERIA,,,4,,,13-19,L 232 ,20 ART ,Renata Mattos 3 Carlos AndrE 1 Luis Vicente 0 Luciana Grether 0 Luiza Novaes 0 Luciana Barbosa 0 Palestra 2,3¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1813,6,1AC,PROJETO: PROJETAR EM PARCERIA ,,,4,,,13-19,L 260 ,20 ART ,Luis Vicente 3 Luciana Grether 1 Carlos AndrE 0 Renata Mattos 0 Luiza Novaes 0 Luciana Barbosa 1 Palestra 1,3¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1813,6,1AD,PROJETO: PROJETAR EM PARCERIA ,,,4,,,13-19,L 260 ,20 ART ,Luciana Grether 3 Luis Vicente 1 Carlos AndrE 0 Renata Mattos 0 Luiza Novaes 0 Luciana Barbosa 2 ,3¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1813,6,1AE,PROJETO : PROJETAR EM PARCERIA,,,4,,,13-19,L 422 ,20 ART ,Luciana Barbosa 1 Luiza Novaes 4 Luis Vicente 0 Luciana Grether 0 Carlos AndrE 0 Renata Mattos 0 Palestra 1,3¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1814,6,1AA,PROJETO: PROJETAR EM SOCIEDADE,2,,4,,,10-13,L 232,18 ART ,Guilherme Toledo 4 Joana Pessoa 0 Eliane Garcia 0  Claudia Kayat 1 Palestra 1,4¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1814,6,1AB,PROJETO: PROJETAR EM SOCIEDADE,2,,4,,,10-13,L 232,18 ART ,Joana Pessoa 4 Guilherme Toledo 0 Eliane Garcia 0 Claudia Kayat 1 Palestra 1,4¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1814,6,1AC,PROJETO: PROJETAR EM SOCIEDADE,2,,4,,,10-13,ART 1,18 ART ,Eliane Garcia 4 Claudia Kayat 2 Guilherme Toledo 0 Joana Pessoa 0 ,4¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1815,6,1AA,PROJETO: PROJETAR PARA CONCRETIZAR,2,,4,,,10-13,F 100 ,18 ART ,Augusto Seibel 4 Claudio Werneck 0 Isabel Martins 0 Renata Mattos 0 Gilberto Mendes 0 Marcelo Pereira 2,5¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1815,6,1AB,PROJETO: PROJETAR PARA CONCRETIZAR,2,,4,,,10-13,F 100 ,18 ART ,Claudio Werneck 4 Augusto Seibel 0 Isabel Martins 0 Renata Mattos 0 Gilberto Mendes 0 Marcelo Pereira 2 ,5¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1815,6,1AC,PROJETO: PROJETAR PARA CONCRETIZAR,2,,4,,,10-13,L 532 ,18 ART ,Isabel Martins 4 Claudio Werneck 0 Augusto Seibel 0 Renata Mattos 0 Gilberto Mendes 0 Marcelo Pereira 0 Palestra 2,5¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1815,6,1AD,PROJETO: PROJETAR PARA CONCRETIZAR,2,,4,,,10-13,L 532 ,18 ART ,Renata Mattos 4 Claudio Werneck 0 Augusto Seibel 0 Isabel Martins 0 Gilberto Mendes 0 Marcelo Pereira 0 Palestra 2,5¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1815,6,1AE,PROJETO: PROJETAR PARA CONCRETIZAR,2,,4,,,10-13,ART 3,18 ART ,Gilberto Mendes 4 Claudio Werneck 0 Augusto Seibel 0 Isabel Martins 0 Renata Mattos 0 Marcelo Pereira 0 Palestra 2,5¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1816,6,1AA,PROJETO: PROJETAR PARA  RESSIGNIFICAR A  PRATICA ,2,,4,,,10-13,L 260,20 ART ,Luiza Marcier 4 Palestra 2,6¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1816,6,1AB,PROJETO: PROJETAR PARA  RESSIGNIFICAR A  PRATICA ,2,,4,,,10-13,L 260,20 ART ,Gabriela GusmAo 4 Palestra 2,6¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1816,6,1AC,PROJETO: PROJETAR PARA  RESSIGNIFICAR A  PRATICA ,2,,4,,,10-13,ART 2,20 ART ,Daniel Malaguti 4 Palestra 2,6¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1821,2,1AA,HISTORIA E TEORIA DO DESIGN I,,,,,6,13-15,VIRTUAL ,21 CAL/ 4 ART / 2 QQC,Irina AragAo,1¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1821,2,1AB,HISTORIA E TEORIA DO DESIGN I,,,,,6,13-15,VIRTUAL,21 CAL/ 4 ART / 2 QQC,Flavia Nizia,1¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1821,2,1AC,HISTORIA E TEORIA DO DESIGN I,,,,,6,15-17,VIRTUAL,21 CAL/ 4 ART / 2 QQC,Irina AragAo,1¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1821,2,1AD,HISTORIA E TEORIA DO DESIGN I,,,,,6,15-17,VIRTUAL,21 CAL/ 4 ART / 2 QQC,Horista a contratar,1¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1822,2,1AA,HISTORIA DO DESIGN BRASILEIRO,,,,,6,13-15,VIRTUAL,12 CAL/ 15 ART,Joaquim Redig,2¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1822,2,1AB,HISTORIA DO DESIGN BRASILEIRO,,,,,6,11-13,VIRTUAL,12 CAL/ 14 ART,Irina AragAo,2¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1822,2,1AC,HISTORIA DO DESIGN BRASILEIRO,,,,,6,15-17,VIRTUAL,12 CAL/ 15 ART,Flavia Nizia,2¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1822,2,1AD,HISTORIA DO DESIGN BRASILEIRO,2,,,,,09-11,VIRTUAL,25 ART,Cristine Nogueira,2¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1823,2,1AA,HISTORIA E TEORIA DO DESIGN II,2,,,,,15-17,VIRTUAL,30 ART,Cristine Nogueira,3¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1823,2,1AB,HISTORIA E TEORIA DO DESIGN II,2,,,,,17-19,VIRTUAL,30 ART,Silvia Helena ,3¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1823,2,1AC,HISTORIA E TEORIA DO DESIGN II,2,,,,,17-19,VIRTUAL,30 ART,Jorge Langone,3¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1824,2,1AA,TEORIA DO OBJETO,,,,,6,09-11,VIRTUAL,28 ART,JoAo Victor ,5¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1824,2,1AB,TEORIA DO OBJETO,,,,,6,09-11,VIRTUAL,28 ART,Irina AragAo,5¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1824,2,1AC,TEORIA DO OBJETO,,,,,6,11-13,VIRTUAL,28 ART,Marco AntOnio,5¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1825,2,1AA,HISTORIA DA ARTE,,,,,6,11-13,VIRTUAL,30 ART ,Jorge Langone,5¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1825,2,1AB,HISTORIA DA ARTE,,,,,6,11-13,VIRTUAL,30 ART,Luiza Interlenghi,5¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1825,2,1AC,HISTORIA DA ARTE,,,,,6,09-11,VIRTUAL,30 ART,Jorge Langone,5¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1825,2,1AD,HISTORIA DA ARTE,,,,,6,09-11,VIRTUAL,30 ART,Luiza Interlenghi,5¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1826,2,1AA,QUESTOES EM ENFASE,2,,,,,08-10,ART 1,25 ART ,Izabel Oliveira 1 Daniel Malaguti 1,6¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1826,2,1AB,QUESTOES EM ENFASE,2,,,,,08-10,L 658,25 ART,Isabel Martins 1 JoAo Bonelli 1 > Sai Bonelli,6¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1826,2,1AC,QUESTOES EM ENFASE,2,,,,,08-10,IAG 3,25 ART,Claudia Kayat 1 Felipe Rangel 1,6¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1841,4,1AA,LINGUAGEM E COMUNICACAO NO DESIGN,2,,4,,,15-17,F 100,21 CAL/ 3 ART / 2 QQC,Evelyn Grumach,1¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1841,4,1AB,LINGUAGEM E COMUNICACAO NO DESIGN,2,,4,,,15-17,L 532,21 CAL/ 3 ART / 2 QQC,Julieta Sobral ,1¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1841,4,1AC,LINGUAGEM E COMUNICACAO NO DESIGN,2,,4,,,13-15,F 100,21 CAL/ 3 ART / 2 QQC,Romulo Matteoni,1¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1841,4,1AD,LINGUAGEM E COMUNICACAO NO DESIGN,2,,4,,,13-15,L 532,21 CAL/ 3 ART / 2 QQC,Suzana Valladares,1¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1842,4,1AA,IMAGEM FOTOGRAFICA E IMAGEM AUDIOVISUAL,2,,4,,,11-13,L 422/K 015,21 CAL,Alexandre Cantini 2 Flavio Carvalho 2,1¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1842,4,1AB,IMAGEM FOTOGRAFICA E IMAGEM AUDIOVISUAL,2,,4,,,13-15,K 015 /ART 2,21 CAL,Lula Rocha 2 Eliane Garcia 2 ,1¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1842,4,1AC,IMAGEM FOTOGRAFICA E IMAGEM AUDIOVISUAL,2,,4,,,11-13,K 015/L 422,21 CAL,Lula Rocha 2 Monica Frota 2,1¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1842,4,1AD,IMAGEM FOTOGRAFICA E IMAGEM AUDIOVISUAL,2,,4,,,13-15,ART 2/ART 3/LIFE/LAIA,21 CAL,Eliane Garcia 2 Lula Rocha 2,1¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1842,4,1AE,IMAGEM FOTOGRAFICA E IMAGEM AUDIOVISUAL,2,,4,,,13-15,ART 3/K 015,15 ART / 5 QQC,Flavio Carvalho 2 Alexandre Cantini 2,1¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1843,2,1AA,LINGUAGEM GRAFICA ,,,,5,,17-19,F 100,21 CAL/ 3 ART / 2 QQC,Guto Lins ,1¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1843,2,1AB,LINGUAGEM GRAFICA ,,,,5,,17-19,L 232,21 CAL/ 3 ART / 2 QQC,Fabiana Prado,1¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1843,2,1AC,LINGUAGEM GRAFICA ,,,,5,,17-19,L 260,21 CAL/ 3 ART / 2 QQC,Priscila Andrade ,1¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1843,2,1AD,LINGUAGEM GRAFICA ,,,,5,,17-19,ART 3,21 CAL/ 3 ART / 2 QQC,Horista a contratar,1¼,,,,,,,,,,,,,,,,,,,,,,,
AnimaCAo,,DSG 1844,2,1AA,DESENHO DE OBSERVACAO,,3,,,,17-19,F 100,21 CAL/ 3 ART / 2 QQC,Nathalia Cavalcante ,1¼,,,,,,,,,,,,,,,,,,,,,,,
AnimaCAo,,DSG 1844,2,1AB,DESENHO DE OBSERVACAO,,3,,,,15-17,F 100,21 CAL/ 3 ART / 2 QQC,DedE Rocha ,1¼,,,,,,,,,,,,,,,,,,,,,,,
AnimaCAo,,DSG 1844,2,1AC,DESENHO DE OBSERVACAO,,3,,,,15-17,ART 1,21 CAL/ 3 ART / 2 QQC,Carlos AndrE,1¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1844,2,1AD,DESENHO DE OBSERVACAO,,3,,,,17-19,L232,21 CAL/ 3 ART / 2 QQC,Carlos AndrE,1¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1844,2,1AE,DESENHO DE OBSERVACAO,,,,,6,09-11,ART 3,20 ART ,Carlos AndrE ,1¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1845,3,1AA,LINGUAGEM, COMUNICACAO E DISCURSO NO DESIGN I,,,,5,,15-18,L 422,12 CAL/ 15 ART,Romulo Matteoni,2¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1845,3,1AB,LINGUAGEM, COMUNICACAO E DISCURSO NO DESIGN I,,,,5,,15-18,ART 1,12 CAL/ 14 ART,Izabel Oliveira ,2¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1845,3,1AC,LINGUAGEM, COMUNICACAO E DISCURSO NO DESIGN I,,,,5,,15-18,L 658,12 CAL/ 15 ART,Maria Julia,2¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1846,2,1AA,GEOMETRIA NO DESIGN,,,4,,,15-17,ART 1,12 CAL/ 15 ART,Celso Wilmer,2¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1846,2,1AB,GEOMETRIA NO DESIGN,,,4,,,17-19,ART 3,12 CAL/ 14 ART,Alessandra Carusi,2¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1846,2,1AC,GEOMETRIA NO DESIGN,,,4,,,15-17,ART 3,12 CAL/ 15 ART,Alessandra Carusi,2¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1846,2,1AD,GEOMETRIA NO DESIGN,,,,5,,15-17,ART 3,21 ART,Alessandra Carusi,2¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1847,4,1AA,DESENHO DE CONCEPCAO,2,,4,,,13-15,L 658,12 CAL/ 15 ART,Mateu Velasco,2¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1847,4,1AB,DESENHO DE CONCEPCAO,2,,4,,,13-15,ART 1,12 CAL/ 14 ART,Nathalia Cavalcante,2¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1847,4,1AC,DESENHO DE CONCEPCAO,2,,4,,,13-15,L 422/ K 017,12 CAL/ 15 ART,Guto Lins,2¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1848,3,1AA,PLASTICA,2,,,,,15-18,L 232,12 CAL/ 13 ART,Sheila Dain,2¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1848,3,1AB,PLASTICA,2,,,,,15-18,L 260,12 CAL/ 13 ART,Carlos AndrE,2¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1848,3,1AC,PLASTICA,2,,,,,15-18,ART 5,12 CAL/ 13 ART,Mateu Velasco,2¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1848,3,1AD,PLASTICA,,,4,,,11-14,ART 5,27 ART,Carlos Eduardo Felix,2¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1849,4,1AA,O CORPO HUMANO COMO QUESTAO EM DESIGN,,3,,,6,15-17,L 422,27 ART ,Denise Portinari 2 Palestra 2 ,3¼,,,,,,,,,,,,,,,,,,,,,,,
,,DSG 1849,4,1AB,O CORPO HUMANO COMO QUESTAO EM DESIGN,,3,,,6,15-17,L 532,27 ART,Nathalia Cavalcante 2 Palestra  2  ,3¼,,,,,,,,,,,,,,,,,,,,,,,
